t_s,host_ts,device_ts_s,tof_mm,ax,ay,az,gx,gy,gz,dt_s,segment_id,session_id,a_mag,g_mag,tof_mm_diff,a_mag_diff,g_mag_diff
3.5,2026-02-13T01:44:04.989133,183.79500000000002,445.5,-0.20925,0.01905,-0.9809,0.09154999999999999,-2.50245,0.2136,,0,session1,1.003151670985001,2.513217532367622,-1.5,0.022318574978232752,-1.7997120028271683
3.6,2026-02-13T01:44:05.089133,183.92000000000002,444.3333333333333,-0.2131,0.0198,-0.9783,-0.4272666666666667,0.7324333333333334,-0.5086333333333334,,0,session1,1.0014362386093285,0.9887988976531072,-1.1666666666666856,-0.0017154323756725098,-1.5244186347145148
3.7,2026-02-13T01:44:05.189133,183.97,444.6666666666667,-0.2012,0.0146,-0.9783,-1.2817333333333334,0.6103666666666667,-0.3458666666666667,,0,session1,0.9988821201723455,1.4611678742248158,0.33333333333337123,-0.002554118436983055,0.4723689765717085
3.8000000000000003,2026-02-13T01:44:05.289133,184.095,444.0,-0.20379999999999998,0.01935,-0.95435,-0.82395,0.6714,0.06105000000000002,,0,session1,0.976059826547533,1.0646119786100474,-0.6666666666666856,-0.022822293624812473,-0.39655589561476834
3.9000000000000004,2026-02-13T01:44:05.389133,184.22,443.0,-0.2113,0.019466666666666667,-0.9337,1.0172666666666668,0.6714,-0.3458333333333333,,0,session1,0.9575083974102321,1.2669688731596984,-1.0,-0.0185514291373009,0.202356894549651
4.0,2026-02-13T01:44:05.489133,184.26999999999998,443.0,-0.2043,0.009633333333333334,-0.937,1.5462333333333333,0.4883,-0.9968666666666667,,0,session1,0.9590621935573892,1.9034225916023542,0.0,0.001553796147157116,0.6364537184426557
4.1000000000000005,2026-02-13T01:44:05.589133,184.39499999999998,443.0,-0.20015,0.015099999999999999,-0.95475,1.77,-0.061,-0.6408499999999999,,0,session1,0.9756206204257882,1.883430307311635,0.0,0.016558426868399034,-0.019992284290719198
4.2,2026-02-13T01:44:05.689133,184.52,443.3333333333333,-0.2054,0.03356666666666667,-0.9727,0.6917000000000001,-0.20343333333333335,0.3662,,0,session1,0.9947166285486089,0.8086633731727383,0.3333333333333144,0.01909600812282064,-1.0747669341388968
4.3,2026-02-13T01:44:05.789133,184.57,443.6666666666667,-0.2078,0.03673333333333333,-0.9762,-0.08139999999999992,0.020333333333333314,0.3662,,0,session1,0.9987475245415018,0.3756884938941362,0.33333333333337123,0.004030895992892969,-0.43297487927860207
4.4,2026-02-13T01:44:05.889133,184.695,443.5,-0.20495,0.0417,-0.9725,0.8545,0.39670000000000005,-1.09865,,0,session1,0.9947359662242037,1.4472639574383106,-0.16666666666668561,-0.004011558317298158,1.0715754635441743
4.5,2026-02-13T01:44:05.989133,184.82,443.0,-0.20076666666666665,0.036033333333333334,-0.9552333333333334,3.4993666666666665,0.9561999999999999,-2.7262666666666666,,0,session1,0.9767683331612808,4.537886671740003,-0.5,-0.017967633062922928,3.090622714301692
4.6000000000000005,2026-02-13T01:44:06.089133,184.87,443.0,-0.20183333333333334,0.028566666666666664,-0.9451666666666667,4.435233333333334,1.3631,-2.8890333333333333,,0,session1,0.9668985348353087,5.46588052670585,0.0,-0.009869798325972012,0.9279938549658473
4.7,2026-02-13T01:44:06.189133,184.995,445.0,-0.20205,0.0228,-0.96515,2.50245,2.5940000000000003,-0.7019500000000001,,0,session1,0.9863359290829874,3.6720329253698147,2.0,0.019437394247678652,-1.7938476013360352
4.800000000000001,2026-02-13T01:44:06.289133,185.12,445.6666666666667,-0.20536666666666667,0.025133333333333334,-0.9829333333333333,-0.20343333333333335,2.583833333333333,1.4647999999999999,,0,session1,1.0044725431787571,2.977115861963648,0.6666666666666856,0.01813661409576972,-0.6949170634061668
4.9,2026-02-13T01:44:06.389133,185.17,444.3333333333333,-0.20953333333333332,0.025766666666666667,-0.9706666666666667,-0.040666666666666684,1.7496666666666665,1.2817,,0,session1,0.9933589062703705,2.169272254057158,-1.3333333333333712,-0.011113636908386626,-0.8078436079064901
5.0,2026-02-13T01:44:06.489133,185.29500000000002,445.5,-0.20825,0.031,-0.9551000000000001,0.9765999999999999,0.885,0.82395,,0,session1,0.9780312226611173,1.5543056850246673,1.1666666666666856,-0.015327683609253184,-0.6149665690324906
5.1000000000000005,2026-02-13T01:44:06.589133,185.42000000000002,446.0,-0.20733333333333334,0.0293,-0.95,1.4648666666666665,1.1800333333333333,0.2644666666666667,,0,session1,0.9728029610928983,1.8995409015513898,0.5,-0.005228261568218984,0.3452352165267225
