host_ts,device_ts_s,tof_mm,ax,ay,az,gx,gy,gz
2026-02-13T01:44:04.746906,183.570,447.00,-0.2191,-0.0269,-0.9124,1.8921,-1.0376,-0.5493
2026-02-13T01:44:04.896378,183.720,447.00,-0.1935,0.0131,-0.9835,-0.2441,-5.8594,1.0986
2026-02-13T01:44:05.046576,183.870,444.00,-0.2250,0.0250,-0.9783,0.4272,0.8545,-0.6714
2026-02-13T01:44:05.196658,184.020,445.00,-0.1893,0.0094,-0.9783,-2.1362,0.4883,-0.1831
2026-02-13T01:44:05.346387,184.170,443.00,-0.2183,0.0293,-0.9304,0.4883,0.8545,0.3052
2026-02-13T01:44:05.496477,184.320,443.00,-0.1973,-0.0002,-0.9403,2.0752,0.3052,-1.6479
2026-02-13T01:44:05.646610,184.470,443.00,-0.2030,0.0304,-0.9692,1.4648,-0.4272,0.3662
2026-02-13T01:44:05.796522,184.620,444.00,-0.2102,0.0399,-0.9797,-0.8545,0.2441,0.3662
2026-02-13T01:44:05.946545,184.770,443.00,-0.1997,0.0435,-0.9653,2.5635,0.5493,-2.5635
2026-02-13T01:44:06.096547,184.920,443.00,-0.2029,0.0211,-0.9351,5.3711,1.7700,-3.0518
2026-02-13T01:44:06.246620,185.070,447.00,-0.2012,0.0245,-0.9952,-0.3662,3.4180,1.6479
2026-02-13T01:44:06.396397,185.220,443.00,-0.2137,0.0264,-0.9584,0.1221,0.9155,1.0986
2026-02-13T01:44:06.546459,185.370,448.00,-0.2028,0.0356,-0.9518,1.8311,0.8545,0.5493
2026-02-13T01:44:06.696427,185.520,442.00,-0.2164,0.0167,-0.9464,0.7324,1.8311,-0.3052
2026-02-13T01:44:06.846703,185.670,447.00,-0.2133,0.0493,-0.9711,-0.4272,-2.0752,0.6104
2026-02-13T01:44:06.996549,185.820,442.00,-0.2201,0.0397,-0.9685,2.3804,-4.2725,-0.6714
2026-02-13T01:44:07.146754,185.970,441.00,-0.2018,0.0157,-0.9385,-4.5776,-1.3428,0.2441
2026-02-13T01:44:07.296683,186.120,442.00,-0.1962,0.0314,-0.9884,-0.1221,-2.1973,-1.3428
2026-02-13T01:44:07.446668,186.270,441.00,-0.1934,0.0167,-0.9822,-1.3428,-3.7842,0.3662
2026-02-13T01:44:07.596700,186.420,441.00,-0.1698,0.0096,-0.9641,-2.0142,-0.8545,2.5635
2026-02-13T01:44:07.746298,186.570,438.00,-0.2057,0.0182,-0.9706,1.7700,-1.8311,0.3052
2026-02-13T01:44:07.896696,186.720,441.00,-0.1887,-0.0211,-0.9489,-2.9297,0.2441,0.4883
2026-02-13T01:44:08.046110,186.870,441.00,-0.1742,0.0303,-0.9563,1.5259,1.6479,0.8545
